cleaned_description,50.72 section
"Received a call from ""C"" area operator who identified that valves 1DG160 and 1DG161 are SHUT. These are the div 2 DG air start receivers. Sent a peer check out in the field with 3506.01P002 Div 2 Diesel Generator Operation procedure to verify valves and positions for DG air start system lineup, and return it to standby. With 1DG160 and 1DG161 SHUT, Div 2 diesel generator is INOPERABLE. Div 1 DG is presently INOPERABLE for div 1 4160V 1A1 partial bus outage. Enter the following ITS LCO actions: Suspend Core Alterations (Action Met, no core alts in progress) Suspend movement of irradiated fuel in the primary and secondary containment immediately (Action met, no fuel irradiated fuel movement in progress) Initiate action to restore required DG to OPERABLE immediately. Action in progress. Safety function determination and support/supported evaluation as follows: Evaluated for DRAIN TIME and ECCS OPERABILITY. With no ECCS pump powered by an OPERABLE on-site power source is not MET. With RHR-B in shutdown cooling and letdown mode and the RHR shutdown cooling isolations not powered by an OPERABLE on-site power source, evaluated DRAIN TIME. Based on current makeup flow rates to the reactor, the current DRAIN TIME is evaluated at 10.2 hours. Entered the following LCO actions: Enter the condition in the table Declare associated penetration flowpath incapable of auto isolation (RT/RHR) IMMEDIATELY (action met) Calculate DRAIN TIME IMMEDIATELY (action met) Restore required ECCS injection / spray subsystem to OPERABLE in 4 hours. (Due at 19:03). Verify secondary containment can be set within DRAIN TIME by 19:03 (Action met - secondary CTMT can be set, reviewed 1409.01 and secondary containment restraints) Verify secondary containment penetrations can be set within DRAIN TIME by 19:03 (Action met - secondary CTMT can be set, reviewed 1409.01 and secondary containment restraints) Verify standby gas treatment can be set within DRAIN TIME by 19:03 (Action met - SBGT 'B' is capable of manual start from the MCR) Reviewed plant risk. Currently div 3 DG, RAT, and ERAT electric power sources are AVAILABLE. There is no defined condition in OU-CL-104 for this condition with neither div 1/2 not having both onsite and offsite power, but div 3 onsite DG available. 15:39 -- Discussed with shutdown safety manager who agreed this is not a defined condition. The shutdown safety manager review of paragon trees initially classifies this condition as outage risk RED. Protected high pressure core spray, div 3 AC/DC/DG/SX. Notified security of change in system availability and protected equipment status. Shutdown Safety Manager is commencing an emergent SSRB per OU-AA-104. Per recommendation by Shutdown Safety Manager reviewed FLEX equipment deployment per 4306.01P017, and based on currently available resources, FLEX could be deployed prior to time to boil or DRAIN TIME and utilized for inventory control or decay heat removal. 16:03 -- Contacted Ameren and verified that there is no work actively ongoing that would impact 345 kV or 138 kV power to the station RAT or ERAT busses per outage contingency plan. 15:45 -- Completed performance of 3506.01P002 section 2.2 placing div 2 DG air start system to standby. Div 2 DG air receivers are now lined up to allow the div 2 DG to auto start if required. Div 2 DG is now AVAILABLE. Performing all sections of 3506.01P002 to verify all DG support systems are in service. OP-AA-108-106 Equipment Return to Service Checklist is in progress to fully restore division 2 DG OPERABILITY. 16:12 -- Verified all div 2 DG support systems are in service. 16:22 -- Corporate PRA engineer states that this is an outage RED condition. 16:38 -- Notified Security of plant risk change to YELLOW. Div 3 AC/DC/SX/DG and HPCS remain protected (HPCS is still INOPERABLE but AVAILABLE). 18:13 -- Emergent SSRB per OU-AA-104 reports that plant risk at the time of the div 2 DG unavailability was as follows: Electric: RED Spent fuel cooling: ORANGE Decay Heat Removal: ORANGE Inventory: YELLOW Reactivity: GREEN Containment: GREEN 19:03 . 4 hour action to restore an ECCS injection / spray subsystem to OPERABLE has elapsed. Div 2 DG remains INOPERABLE during administrative review of operability. Entered the following LCO actions: - Initiate action to establish a method of water injection capable of operating without offsite electric power . Immediately this action is met by HPCS system available as a water injection source capable of operating without an offsite electric source . Div 3 DG is available as an onsite source to power HPCS is called upon 21:04 System Return to Service checklist OP-AA-108-106 Attachment 2 has been completed and reviewed satisfactory for Division 2 DG. Field walkdown and panel walkdown have been completed and channel checks completed satisfactory. All PMT has been completed satisfactory and the Operability Restraint Database has been reviewed to verify no additional restraints to operability exist. A review has been performed utilizing the guidance provided in OPERATIONS DEPARTMENT STANDARDS AND EXPECTATIONS, section 4.27 Return to Service (No Work Performed). Division 2 DG is now OPERABLE.",['50.72(b)(3)(v)(A)']
"On 6/4/2018 at 09:20, Unit 1 reactor was manually tripped following 1C FW pump trip during execution of 1BwOSR 3.3.2.8-621A.","['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"While performing Safety System Status Report discovered the 1E22-F004 valve open vice required position of closed. Review of computer point HP-BC801 showed the valve went open at 8:47 6/20/18, local area operator reports that the 1E22-F004 valve indicates open locally and valve is not hot to the touch. No Alarms or other indications for a change in position of 1E22-F004 valve.",['50.72(b)(3)(v)(D)']
"At 09:46, CPS experienced a trip of the ERAT SVC. Approximately 15 seconds following the trip of the ERAT SVC, the 4160KV bus 1A1 locked out the RAT feed breaker and the DIV 1 DG started and loaded to the 1A1 bus. Ameren was notified of the disruption in power to the 138KV line and the subsequent trip of the ERAT SVC and the fact that DIV 1 DG is powering the DIV 1 safety bus. Ameren informed CPS that Ameren received a report from Decatur dispatch that a 138KV to 13.8KV transformer number 2 at Clinton route 54 substation was on fire and the South feed to Tabor cycled as a result of this fault. The north feed from Bloomington to Tabor is out of service for line replacement until December. This caused the 138 KV feed to CPS to be de-energized for a short period of time. At the time of the event, 4160KV bus 1A1 was on the ERAT and 4160KV bus 1B1 and 1C1 were on the RAT as a result of the Op Eval associated with Open Phase Detection.",['50.72(b)(3)(iv)(A)']
"On 9/26/18 at 1908 CST, Unit 1 Reactor Automatic Scram signal was received due to Channel A/B Turb-Gen Load Mismatch Low EHC press. The turbine trip was due to GCB 7-8 tripping open with GCB 6-7 open for switching orders. The 3B and 3C Low Set Relief Valves actuated and reset to control reactor pressure. Plant is in a stable condition with reactor pressure being maintained by the Turbine Bypass valves. Reactor water level is being controlled with feedwater.","['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"At 0901, during the performance of QCOS 6500-09, Functional Test of Second Level Undervoltage, the feed breakers to bus 13-1 from Bus 13 opened. This de-energized Bus 13-1 and Bus 18. The 1/2 EDG Auto-started but did not power Bus 13-1 due to conditions established for the test. The 1/2 EDGCWP did not start due to loss of power to Bus 18 and the 1/2 EDG was placed in stop at 0906. All other actions occurred as expected.",['50.72(b)(3)(v)(B)']
During troubleshooting of 12BY a Human Performance Error caused a loss of power to 12A. 'A' EDG started and tie into Bus 14 and 18 automatically. At the time of the event Bus 13 was tied to bus 14 and 'A' instrument bus was on maintenance supply. The Operating crew entered AP-ELEC.3 and restored power per ER-ELEC.1,[]
"On 10-28-18 at 0445, identified rising trend on all IRMs which rose high enough to cause a RPS actuation. RPS actuated on IRM upscale trips on IRM D, E, and G creating trips in Division 1, 3, and 4. Shutdown was in progress IAW 3006.01 at the time, the last bypass valve was shut 8 minutes prior, actions were being taken secure steam loads to control cooldown rate.",['50.72(b)(2)(iv)(B)']
220-08 line tripped causing all 4KV busses to transfer to 3EA emergency transformer. E434 LC should re-energize in 3 seconds when power is restored. E434 failed to energize and had to be manually transferred.,['50.72(b)(3)(v)(A)']
"On April 29, 2019 at 1633, Nine Mile Point Unit 1 scrammed due to reactor pressure oscillations of 7 psig and APRM oscillations of approximately 10 percent. Due to MPR being out of service due to an unrelated equipment issue, operations was required to manually scram the reactor due to pressure oscillations on the EPR IAW N1-SOP-31.2. All control rods fully inserted and all plant systems responded per design following the scram. Following the manual scram, the High Pressure Coolant Injection (HPCI) System automatically initiated as expected and was reset by operations.","['50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
"At 03:48, an automatic reactor scram was received on turbine stop valve closure from turbine trip. The turbine trip was due to Turbine Bearing Pressure Low signal. Following the plant stabilization, U2 Turbine Building Floor Drain Sump Lvl Hi was received. The NLO sent to investigate the Hotwell basement reported approximately 1.5 inches of oil/water fluid mix in the basement and a stream of oil coming down the south wall from the LPHB above. NLO sent to the turbine deck to investigate behind the shield wall did not locate any abnormalities or indications of oil leaks at that level.",['50.72(b)(2)(iv)(B)']
"TDRFP B speed began coasting to zero rpm without a trip signal initially present to prompt Digital Feedwater Scram automatic actions and a Reactor Recirculation Flow Control Valve runback. RPV level lowered to level 3 and caused an automatic RPS scram. Mode switch has been placed in SHUTDOWN; scram choreography conducted; entered EOP-1 on level 3; entered 4100.01 Scram Off-Normal; Entered 4200.01 Abnormal RPV Level at Power; Mike Nelson stationed himself as Incident 02:27 -- RPV level reached level 2; HPCS and RCIC initiated; TDRFP A and B trip due to RCIC initiation; RR FCV's runback; RR pumps trip due to ARI; CRVICS groups 4, 8, 10, 12, 14, 15, 16, 19, and portions of 20 isolated; MDRFP started; Entered 4001.01 Automatic Isolation, 4008.01 Abnormal Coolant Flow; Performed level 2 walkdowns, SAT. 02:28 -- RPV level reached level 3 02:30 -- RPV level reached level 8; HPCS secured; RCIC automatically shutdown 02:38 -- Entered EOP-8 on RT B room cooler differential temperature high. This was caused by B RWCU pump seal failure after isolation of RWCU. 02:56 -- RPV level reached level 3 03:13 -- 0RIX-PR001 HI ALARM; 0RIX-PR012 started; entered 4979.01 Abnormal Release of Airborne Radioactivity 03:25 -- 1RIX-PR019 in ALERT. Entered 4979.02 Abnormal High Radiation Levels 03:26 -- VG B placed in PTL 03:33 -- Scram reset 03:56 -- Condenser Vacuum Pump B started 04:39 -- Exited EOP-8 due to RT B room cooler differential temperature returning to nominal value 05:00 -- CCW restored to Containment 06:03 -- VP A started; Drywell temperature 140F. 06:37 -- Division 3 DG shutdown Plant equipment status after walkdowns during transient: - loss of all running WO chillers (chillwater pumps remained running) - loss of instrument air to the Control Building and Service Air compressor #0 auto-started - FCV A would not re-open (IR 04269348) - RT B pump seal showed indications of failure - Digital Feedwater would not control in AUTO (IR 4269346)","['50.72(b)(2)(iv)(A)', '50.72(b)(2)(iv)(B)', '50.72(b)(3)(iv)(A)']"
